OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
94,15224,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.46426325,-79.94511825, ,5113,845,4063,205,495,1.9.3,0,{38CD0F50-BE92-4378-A4FA-018342B795B0},28609151.9487915,31136.6884406514
4109,15012,BELLE VERNON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.15614,-79.812132,,7110,180,6786,144,651,1.9.3,10,{5622E8D7-42F6-4954-BCA1-027E79E94D85},3777748.06942749,8748.13575043968
853,15142,PRESTO,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.38040138,-80.12099328, ,1037,0,919,118,30,1.9.3,5,{50A22C3C-87AF-4B8F-89F4-05FD32B80F25},54765999.8917542,53641.0713771451
34576,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16040,3486,12256,298,826,1.9.3,11,{7A46160F-54EC-4D70-906A-070DB6ED9419},405238419.280762,180318.014741163
302,15216,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.40180177,-80.03433406, ,11008,1817,9054,137,535,1.9.3,6,{3138C4F5-5CEE-43E0-8933-0F0E7AA1EEBA},99342792.1983032,75129.2558531648
49,15110,DUQUESNE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.37243097,-79.85005849, ,2833,318,2383,132,169,1.9.3,6,{0572D3C0-9701-472C-B109-0FB3F73FC8EA},56170668.9294434,33483.3907478372
63,15140,PITCAIRN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.40538081,-79.77541598, ,1616,183,1382,51,83,1.9.3,6,{4E4D0A6D-8B46-4F3B-A41B-120E609506E2},15636804.7297363,24765.9809319365
893,15026,CLINTON,NON-UNIQUE,PA,42,42007,BEAVER,150,40.51234159,-80.37390453, ,1457,0,1205,252,90,1.9.3,0,{060219CD-1215-491C-ADD3-15E31994CA1A},145679503.47934,89993.6289100622
107,15239,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.48743511,-79.73946234, ,8522,164,8256,102,532,1.9.3,6,{F85E598B-BC93-40B3-9C95-192AC8A5F4EC},473898318.266663,137521.732924415
313,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39606444,-79.90626658, ,9303,1035,8024,244,651,1.9.3,6,{333855ED-238E-4219-BF3A-1B03E620B6BE},139298909.383545,59764.240978267
309,15234,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.36961247,-80.01796048, ,6819,1034,5562,223,722,1.9.3,5,{417599F8-E171-4B7C-9BED-1E224FA43843},92911062.0979614,82289.8684914521
19,15035,EAST MC KEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.39846801,-79.81833267, ,1141,51,1062,28,70,1.9.3,10,{5727D3B9-700D-43F7-B621-1FFACDA2A5B9},11939748.4039917,18081.9815954454
73,15203,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.42585758,-79.97513245, ,5709,733,4799,177,888,1.9.3,12,{9B363D48-EAE2-4F39-AD8F-22506F5C60AA},50661253.3573914,49987.1754130362
57,15132,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3392329,-79.84240455, ,9746,1144,8558,44,722,1.9.3,0,{0AD7F458-B319-4527-B1DB-235637FB63F6},174381015.585541,80680.7491762634
257,15276,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899, ,,,,,,1.9.3,5,{9374F636-799D-4638-94BE-24CF19D4CC1A},3569755.206604,9468.9434971093
125,15126,IMPERIAL,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,3084,294,2663,127,235,1.9.3,15,{3D342C71-3E56-4E55-BA26-26F7B6C25CF4},663819642.676453,194002.28727971
4509,15075,RURAL RIDGE,PO BOX,PA,42,42003,ALLEGHENY,150,40.63261124,-79.83747527, ,90,0,1,89,14,1.9.3,5,{C905BDB3-EC1C-4CA0-9E61-2829DF059A4B},2001180.44000244,10046.3898559652
58,15133,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32924545,-79.86396125, ,2949,121,2828,0,62,1.9.3,1,{D38FA47F-3240-46A4-9096-2A896FB4B4A6},78674660.0268555,55794.5647167482
34569,15228,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.37072859,-80.04510354, ,7700,1883,5785,32,444,1.9.3,10,{DE3066A3-92E4-417C-9F1F-346636AD05DC},83943960.1307068,73746.4038564704
376,15139,OAKMONT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.53502586,-79.88243085, ,3161,465,2616,80,379,1.9.3,6,{7921DED5-1C74-4B9A-BCE0-3911444F9916},79554518.8251343,45520.320848711
5,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.60796437,-79.74083155, ,1493,59,1396,38,76,1.9.3,5,{D7938129-8427-49A4-8C6C-3A19848432D4},15260964.3071899,16857.3874963869
70,15148,WILMERDING,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39963912,-79.81058502, ,1416,216,1166,34,109,1.9.3,5,{17E6865C-36C0-4B7C-9809-3D8720059F19},44288956.8619995,55484.7233799413
345,15205,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43935,-80.10208, ,10831,1718,8997,116,1222,1.9.3,11,{2EAC90A8-3F81-41A7-8F43-3E791D265145},324819524.184204,179047.1402036
34570,15243,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.37220649,-80.07521033, ,5679,754,4841,84,232,1.9.3,5,{C0BF2DC2-6B9A-45AC-B700-3E7C0508718E},78541319.4478455,55367.909782935
34573,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.421916,-80.047501,,8442,2526,5865,51,797,1.9.3,7,{7946DD39-2C0B-41FD-858E-42A724152131},135155772.306244,129190.256029018
26920,15209,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50084865,-79.97402649, ,5733,318,5354,61,344,1.9.3,10,{FF8622D8-3B88-4340-934B-43462715996E},131802132.73175,107159.245339775
76,15206,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.46687654,-79.91552399, ,15041,4317,10234,490,966,1.9.3,11,{6B6270A2-49F5-4E1A-8904-44E1BBF3457C},141709475.773621,79928.1519458762
23,15046,CRESCENT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55563839,-80.22832411, ,1116,0,1060,56,63,1.9.3,0,{14AA359E-C043-4826-B9E7-450800598D51},63556112.9817505,37940.4317018874
858,16056,SAXONBURG,NON-UNIQUE,PA,42,42019,BUTLER,160,40.72386263,-79.83905753, ,2291,249,1700,342,201,1.9.3,7,{C3794FFA-46DD-4A2F-A8FF-46BC033ED71B},3888956.72473145,10318.311048047
336,15017,BRIDGEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.34316582,-80.13009131, ,7437,1216,6065,156,865,1.9.3,6,{C8461EEC-98FC-41AC-BFF6-4877D311C01A},293710176.305206,123844.607078611
859,15068,NEW KENSINGTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.55494408,-79.70895869, ,17680,1375,15906,399,1146,1.9.3,12,{EEFF2771-2F98-48DE-9CAC-49F84B3E8679},259347289.676392,107517.410423707
592,15104,BRADDOCK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4017865,-79.85603257, ,4136,427,3564,145,254,1.9.3,10,{6FCB909B-8979-4323-8B89-4A7AD707C3BF},77723960.5701904,46045.7288723028
8113,15076,RUSSELLTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6109096,-79.83650823, ,518,40,344,134,78,1.9.3,15,{E1D40D22-317D-4798-BC57-51EA3506E64D},32133200.347229,46767.2340263831
860,15005,BADEN,NON-UNIQUE,PA,42,42007,BEAVER,150,40.64337237,-80.16605706, ,4086,243,3793,50,176,1.9.3,12,{21A801BB-C8D9-4EE7-838E-52470EAEBC48},107509656.894592,62947.5182477561
152,15084,TARENTUM,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.61473817,-79.80443624, ,4538,346,4134,58,472,1.9.3,6,{A00EFDA2-FD29-4B81-AD8A-53B0E12B71EB},803301777.458313,245643.413819019
882,15668,MURRYSVILLE,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.46510414,-79.66682253, ,5479,176,5150,153,580,1.9.3,11,{9F5E022A-36CD-4B19-9299-55001E2AD4DA},3252369.97033691,11175.0481945926
30,15064,MORGAN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3570462,-80.14755828, ,197,0,160,37,54,1.9.3,12,{1FA645FE-C42C-4C6F-A8F7-575717E417F3},18286424.3265991,29186.0793110152
154,15006,BAIRDFORD,PO BOX,PA,42,42003,ALLEGHENY,150,40.63632608,-79.9466552, ,,,,,,1.9.3,12,{E34895F1-D822-4D51-ADD7-5A6EFD3CA15D},3987176.14471436,14072.2889959599
34575,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16040,3486,12256,298,826,1.9.3,11,{E6C4FF1C-14CE-401F-B389-5A747B61D3C3},0.00079345703125,0.157256766112336
905,15332,FINLEYVILLE,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.23664564,-79.98846347, ,3572,106,3403,63,164,1.9.3,5,{B42E936B-EC34-4D0B-A442-5BAA8E985422},92586437.9814148,65509.7609438962
863,15003,AMBRIDGE,NON-UNIQUE,PA,42,42007,BEAVER,150,40.60947689,-80.22024162, ,5481,211,5085,185,474,1.9.3,11,{B563A649-C6D4-4D39-881B-5EF1F87C1A72},11798940.3369141,27382.0349678957
31,15065,NATRONA HEIGHTS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,5339,309,4928,102,399,1.9.3,10,{99206AD3-D38B-4853-BBEA-632419299957},351411121.132568,107552.066574649
55,15129,SOUTH PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.29378767,-79.9950397, ,4690,836,3674,180,183,1.9.3,16,{5F1C6CBE-D261-464A-9F1D-673D4D5F1533},233866588.410736,87854.2208236276
359,15143,SEWICKLEY,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.57996515,-80.14296867, ,8071,759,7068,244,790,1.9.3,13,{F6D300CE-A7D0-4E23-803A-68351D70E270},952341823.429077,158416.775782514
195,15238,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.53502586,-79.88243085, ,5995,584,5205,206,967,1.9.3,6,{E6FEBE1F-0338-4D97-8CFE-6BE2523CDC7C},491815012.141235,175456.297718879
100,15232,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45294179,-79.93224793, ,6796,4113,2604,79,441,1.9.3,5,{14540988-6754-4A8C-A748-6CB303426CC4},22519697.3411255,36098.3915880129
113,15290,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45866861,-80.02204336, ,0,0,0,0,1,1.9.3,10,{930CCE98-4F12-478B-A825-6D529F798805},967402.069885254,4646.95856865538
10,15020,BUNOLA,PO BOX,PA,42,42003,ALLEGHENY,150,40.21979141,-79.96302413, ,131,0,1,130,13,1.9.3,12,{6A1DF0B9-0732-465E-A020-6DBC3DCE93B3},52544100.8355103,40987.2586664173
34572,15106,CARNEGIE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.40887692,-80.11377374, ,8935,1001,7885,49,946,1.9.3,16,{6810A026-B186-4C30-9334-6E27E51B0214},72.9854431152344,46.7036131983897
183,15051,INDIANOLA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.57959175,-79.86609649, ,243,0,201,42,45,1.9.3,10,{1A3867AA-9625-453F-83EA-73EBDFCB5927},12095520.4421387,18193.8640877149
692,15217,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43135754,-79.92139908, ,12495,3165,9119,211,798,1.9.3,15,{0A4F9FB0-CBFA-4E88-A748-75676F70D67A},117259169.302155,68823.2617192357
47,15106,CARNEGIE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.40887692,-80.11377374, ,8935,1001,7885,49,946,1.9.3,16,{AA1C4C28-498C-4CEB-88BA-767C237966C9},296159057.142975,130001.89510245
178,15044,GIBSONIA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.63632608,-79.9466552, ,10321,270,9828,223,613,1.9.3,12,{3B97FABF-5DC1-4D72-BFA7-790D014396E5},1090837588.8252,238585.070232896
56,15131,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32513782,-79.80337403, ,3997,557,3440,0,286,1.9.3,8,{FA436401-5594-4ACC-9EDF-7B2AC0984C11},197696518.558899,99605.4396940515
101,15233,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45789522,-80.02901278, ,1690,396,998,296,535,1.9.3,5,{0674C6ED-673C-4527-8D78-7CD0B0302F6E},46027481.4365845,38838.8244882561
11,15024,CHESWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.57399059,-79.84720933, ,3670,29,3593,48,220,1.9.3,11,{C65108C3-C86F-4BCF-92AF-7D36A15D93FC},480979767.821045,196543.72305181
24,15047,GREENOCK,PO BOX,PA,42,42003,ALLEGHENY,150,40.31121933,-79.79640995, ,163,0,1,162,16,1.9.3,15,{E03C7DC0-2C30-465D-90E9-82C16CA52037},8297050.90625,14602.9118682253
14,15034,DRAVOSBURG,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,,, ,979,0,950,29,104,1.9.3,6,{C7A863B3-22E1-42B1-A368-872E83B4A9CC},29885395.682312,27557.1871821006
43,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.62165889,-80.06218593, ,7978,685,7121,172,1154,1.9.3,11,{C81CA318-F864-4630-BA80-8B5177880A70},625403031.303162,212160.157109195
3732,15207,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.398646,-79.933936, ,5309,344,4885,80,221,1.9.3,5,{1224E878-50CE-407F-B26C-8C0345828818},130993035.026245,111510.8489509
864,16046,MARS,NON-UNIQUE,PA,42,42019,BUTLER,160,40.69775333,-80.02885615, ,5311,0,4517,794,479,1.9.3,13,{DEF761E6-B53C-4EC7-A893-8E6ED408689C},107355045.051758,102482.647869157
