OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
300,15136,MC KEES ROCKS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.46625436,-80.1052967, ,9910,678,9056,176,759,1.9.3,15,{66C84F75-7F80-4D27-BA99-8F5879211BE1},305241546.694458,128080.316158873
69,15147,VERONA,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4968904,-79.82986158, ,8048,830,7137,81,386,1.9.3,5,{A4DA6611-B8F5-46E8-9960-8FBD142EBAFC},282976748.586304,130079.146174238
181,15101,ALLISON PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.58764373,-79.94259225, ,9780,960,8748,72,607,1.9.3,7,{2854ADFF-24F0-4203-9F37-9151CF1F48DE},568217517.585083,201359.382401033
243,15229,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.517189,-80.030806, ,6411,665,5672,74,312,1.9.3,5,{65541C6E-E28D-4150-B563-93F955826F42},112881227.7323,87913.9343540729
307,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32221149,-80.03642213, ,12769,1668,10948,153,861,1.9.3,6,{2EB816EA-46E9-4C7B-886A-99FA183C4EC3},294768775.09259,94100.1055486353
591,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16040,3486,12256,298,826,1.9.3,11,{F2103F22-0665-4BA1-B7D8-9BD97F00CD1F},165167385.639954,92197.7609012082
287,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.54828572,-80.05271256, ,18376,2952,15125,299,1880,1.9.3,12,{4B1C99A3-857A-4BCB-A79B-9E02F30DF27D},667132696.263306,233015.888692268
890,15108,CORAOPOLIS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.48157,-80.191806,,17495,2710,14450,335,1381,1.9.3,10,{B25FF607-7A2D-4D47-993E-9EF00B902FE9},1030129249.90802,277541.507310867
82,15212,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4677639,-80.05312347, ,14090,2933,10866,291,961,1.9.3,8,{90BE35C1-FB70-47E2-BFD3-A2AEB33E65B9},175900536.090942,148604.456769657
4,15007,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.65668829,-79.93212966, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},12288976.1229248,21102.0123525781
12,15025,CLAIRTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28416284,-79.91537341, ,7218,277,6768,173,494,1.9.3,0,{86730D4E-BBA9-4B57-8336-A444594F7E27},447028071.414917,152122.709442444
112,15275,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45235707,-80.18180181, ,0,0,0,0,181,1.9.3,13,{6879EEB7-CBC2-4D52-B5D9-A5D5A8CEB5BF},36876514.2090149,57715.7844828148
22,15045,GLASSPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.32654473,-79.886074, ,2155,56,2013,86,140,1.9.3,11,{D75C7638-C33A-4CBF-8D1E-A6944FEE51D4},49081784.6929932,34875.722183555
277,15116,GLENSHAW,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899, ,6093,86,5931,76,374,1.9.3,5,{993779CB-C9F6-4CDC-AA88-A7C006E9E836},217477590.305481,126812.841704068
258,15083,SUTERSVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,,,,,,1.9.3,11,{BB0BB666-A223-45A9-8674-A950C0F5983C},7630132.75473022,19131.6011625834
34571,15231,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,,,,,,1.9.3,15,{48935354-E8B0-4E13-A8D8-A9BB99E1C627},27990578.3448486,21329.6095517362
900,15321,CECIL,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.32301892,-80.18939955, ,796,0,658,138,74,1.9.3,10,{E0DC3A5E-59AC-4686-BD65-AB36B2F6AF97},1449834.93325806,7429.42127878993
685,15071,OAKDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.4070605,-80.17620598, ,4325,0,4245,80,319,1.9.3,12,{5F2F4686-4F24-4446-B3C4-AD29390EF1D3},489041568.519714,173871.739699128
59,15135,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.30216627,-79.81469332, ,2192,280,1879,33,93,1.9.3,5,{760085A3-2A1B-44A4-9858-AEA6311684E9},110483900.20108,72136.6251065227
34562,15210,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.40670799,-79.98530508, ,11824,919,10592,313,523,1.9.3,0,{A95C7D40-9F74-41C0-A2D9-B019B76240E4},128149140.692352,92927.0868501867
340,15031,CUDDY,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.359621,-80.178499, ,271,0,164,107,38,1.9.3,10,{E291E778-2FDB-4E05-9F93-B061A8F7837C},27170209.7917175,52827.8852437986
15,15030,CREIGHTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.58806677,-79.77999562, ,532,1,491,40,64,1.9.3,0,{5E20E33C-05C8-49F4-A63F-B29340E9BC6E},47525828.6331787,61015.748761752
908,15063,MONONGAHELA,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.20063939,-79.92817274, ,5130,157,4851,122,339,1.9.3,11,{00DD3ADA-FF13-44A8-910C-B7C4BAA97BD8},356975497.567596,119935.29510755
6,15015,BRADFORD WOODS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6364525,-80.08523523, ,525,0,430,95,56,1.9.3,10,{BABB5D5E-1FF4-4E03-BBAB-B84CBB5BFB31},26705500.5024414,33633.518305507
527,15145,TURTLE CREEK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.41645483,-79.82407788, ,3559,307,3164,88,236,1.9.3,17,{E2ED0CB5-5DDA-4EF4-AE3F-BA6BF6002261},56273576.3391724,63222.9817767348
8,15018,BUENA VISTA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,415,0,286,129,22,1.9.3,11,{4E2C2FAA-7976-4BEF-8119-BBB65C2F7014},61508163.559082,74417.8986320184
66,15144,SPRINGDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.54658212,-79.78534981, ,1976,159,1789,28,143,1.9.3,10,{17187878-280E-4EB3-A513-BC21F819466A},81594465.7597046,58079.9526654257
27,15056,LEETSDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.56545938,-80.21316383, ,569,65,471,33,127,1.9.3,5,{E8048D78-459F-45F2-8BB7-BD728E2D0F38},30418602.3798218,26688.1626618206
370,15215,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.49616648,-79.91664792, ,5617,544,5014,59,486,1.9.3,7,{B4B258BE-AD4C-428E-B5F6-BF42D3C37FF9},169969874.164917,68323.8113755554
278,15202,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.49877307,-80.05095444, ,10134,2745,7339,50,538,1.9.3,17,{EFC6E2F2-68E3-4795-8E3E-BF5C75122C81},134025548.94281,80930.9705796565
216,15223,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50611141,-79.95117001, ,3532,232,3272,28,283,1.9.3,12,{BF739C67-EFAE-4BAA-8CC3-BFC29FAEAE55},56839252.3106079,56488.1557979254
296,15122,WEST MIFFLIN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.36062103,-79.90927201, ,9167,631,8491,45,472,1.9.3,5,{DF2BE71D-F1BC-4056-90F7-C0698B4FDA01},387551148.172821,157959.97357955
256,15282,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.44291632,-79.98815211, ,,,,,,1.9.3,11,{90C0B91D-1527-4729-AFEE-C388E634A907},268656.100097656,2301.32381191186
26921,16059,VALENCIA,NON-UNIQUE,PA,42,42019,BUTLER,160,40.70351862,-79.93065089, ,3286,0,3088,198,188,1.9.3,11,{FF7EA897-E227-4495-8FE0-C56D26137DCE},22340151.5690918,39007.7695057459
95,15225,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50688702,-80.11220909, ,603,0,578,25,150,1.9.3,16,{73BB6FA5-B8CB-40D8-A292-C8AC931AEFC8},65384475.5179443,58702.9992217381
268,15088,WEST ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.25059259,-79.86374335, ,,,,,,1.9.3,10,{3F6DAE87-C96B-403D-B589-CB7F3696195C},8978218.13388062,22352.5597697891
88,15218,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.42616848,-79.88669761, ,7238,1229,5858,151,441,1.9.3,0,{115FC638-65FB-4864-8E27-CC6756C47CD2},69345385.0270081,46389.903884796
886,15089,WEST NEWTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.21590808,-79.74185899, ,2881,139,2681,61,177,1.9.3,13,{17006982-B31E-4199-B529-CF78EB4BC0C1},5112824.57397461,22305.3592229615
884,15085,TRAFFORD,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.38481212,-79.71904635, ,3452,104,3305,43,189,1.9.3,5,{1EAD1C8E-705B-4221-B6BB-D28A573375AB},11566975.6408386,22884.7460663003
83,15213,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4430908,-79.95520627, ,11666,6940,4487,239,947,1.9.3,6,{EAF54ABC-E455-4BCB-B221-D579E1242754},71579524.9023743,60013.4291858616
255,16229,FREEPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,,,,,,1.9.3,10,{9854CE82-59CB-4E16-A63F-D64920BD5EA6},2958958.862854,9228.62616137391
2116,15226,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.39597226,-80.01427671, ,6578,603,5908,67,367,1.9.3,11,{09780AB6-B857-4B38-A56A-D6D3581ABFD2},69704109.8656311,59462.4901555675
78,15208,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45379945,-79.89944151, ,5012,772,4126,114,298,1.9.3,5,{FB1D8C86-BDFC-4473-892D-D7999119FA07},40979095.2307129,40348.321665996
81,15211,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43077203,-80.0151459, ,5893,901,4922,70,206,1.9.3,10,{4947BA7C-BC90-4825-B540-DA3311566C49},43441539.98349,36229.2564201343
50,15112,EAST PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.406067,-79.83876378, ,1830,154,1595,81,141,1.9.3,12,{5B39C659-1E8C-4F25-AAA4-DCE9E7E6C0B6},21943123.4373474,29902.424541139
237,15227,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.381338,-79.969707, ,13011,1522,11412,77,622,1.9.3,16,{E0E4D041-A766-4D78-8127-DFFBD17309A8},180964873.812897,120354.062036471
68,15146,MONROEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.42693174,-79.759102, ,13159,3114,9836,209,1837,1.9.3,16,{A5AE5829-C414-4AD3-B19D-E04B1FE08F92},532787838.731842,150979.924643768
34574,15226,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.39597226,-80.01427671, ,6578,603,5908,67,367,1.9.3,11,{BD175AAC-E982-42A5-A3A5-E12600422E5F},1.70358276367188,38.2175157837988
61,15137,NORTH VERSAILLES,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3780742,-79.80876604, ,5010,788,4114,108,384,1.9.3,15,{357A761E-C584-47FB-854E-E8C91C75BE69},223086172.538727,113283.177901623
92,15222,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.44779855,-79.99154271, ,1904,1534,168,202,1939,1.9.3,10,{0A493F77-F872-41A0-816E-E900D171D856},31030028.6910706,42434.9690758318
111,15261,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.44655133,-79.95955977, ,0,0,0,0,0,1.9.3,5,{29ADE7CC-CBDF-49B0-B6C1-EB1045BE6051},324741.463439941,2970.28234777327
678,15086,WARRENDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64717864,-80.0953598, ,157,0,93,64,229,1.9.3,10,{96EBB7AC-2CE6-404C-97A8-EBC16ADD2540},44487139.3718262,56384.1631386307
25,15049,HARWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55594268,-79.80560481, ,546,0,463,83,23,1.9.3,15,{CEC8C572-1900-45CE-88AF-EC3E199852EF},18921596.4783325,26044.353073833
298,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45436768,-80.05936821, ,3645,112,3484,49,139,1.9.3,10,{478BB633-2446-4D0B-AA3F-EFBEF91D5202},53643204.6076965,39984.5422711656
897,15057,MC DONALD,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.35731321,-80.21749696, ,5280,110,5069,101,174,1.9.3,11,{093B892C-6AF8-4882-90CC-F2015F4A0387},528206151.066315,223250.440282853
2509,15037,ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.250593,-79.863743,,4675,43,4558,74,263,1.9.3,10,{11BAA0B6-60C5-4F19-A8C1-F2122BE07023},738684056.993225,217483.343681703
460,15028,COULTERS,PO BOX,PA,42,42003,ALLEGHENY,150,40.295303,-79.801633,,87,,1,86,3,1.9.3,6,{C6C99F73-FF1E-4BF8-B844-F3B6496E9EF9},6559347.09951782,16588.1249635548
84,15214,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.48571112,-80.01328973, ,6370,417,5953,0,111,1.9.3,6,{CFA66008-DB78-4DCA-931B-F3E4A54D4D7D},124592731.184875,92511.500160667
38,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.38088936,-80.21310333, ,175,0,1,174,15,1.9.3,0,{68837542-C476-4E60-86D8-F67AD536E4E0},4526030.56356812,13235.2480976695
903,15241,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.33186282,-80.0828404, ,7820,658,7027,135,888,1.9.3,15,{AEE5E07F-EF87-4E93-90E0-F7E81B93CA30},278938937.068146,107232.356695015
89,15219,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.44291632,-79.98815211, ,6080,2644,3378,58,1728,1.9.3,11,{3A7259DD-F31C-4F1C-835B-F8FC2FE77646},72858750.3772888,76262.2924034759
34568,15236,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.38282012,-79.94502258, ,13685,2318,11099,268,1035,1.9.3,15,{9DC6C8C5-BF0C-4197-B55F-FC78F21F75EB},285023276.092316,203124.322341435
883,15642,IRWIN,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.30204562,-79.70319636, ,18756,870,17657,229,1111,1.9.3,7,{94796352-FF04-4F83-8620-FCD7904D7C43},5261496.94454956,12232.0753274887
71,15201,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.47540275,-79.9536848, ,6231,300,5871,60,638,1.9.3,13,{1D1DC52E-3E57-4BA9-AC30-FF1CEBB05331},76487383.4189453,52392.3094481181
